date,consumption,tavg,tmin,tmax
1999-10-01,4.968630531030216,12.730208333333332,10.982,15.837
1999-10-02,4.968630531030216,14.060416666666667,10.872,18.84
1999-10-03,4.968630531030216,10.582375,7.85,13.545
1999-10-04,4.968630531030216,9.255125,6.734,12.72
1999-10-05,4.968630531030216,8.260791666666668,5.669,12.083
1999-10-06,4.968630531030216,8.111625,5.653,12.226
1999-10-07,4.968630531030216,8.853708333333334,5.624,13.593
1999-10-08,4.968630531030216,9.584541666666667,6.091,12.983
1999-10-09,4.968630531030216,11.583833333333333,9.888,14.205
1999-10-10,4.968630531030216,12.58725,10.393,15.978
1999-10-11,4.968630531030216,12.109041666666668,8.746,15.954
1999-10-12,4.968630531030216,10.007708333333333,6.535,15.048
1999-10-13,4.968630531030216,8.871625,4.664,14.402
1999-10-14,4.968630531030216,8.817833333333335,5.387,13.973
1999-10-15,4.968630531030216,8.265875,3.193,14.117
1999-10-16,4.968630531030216,5.394375,1.178,12.129
1999-10-17,4.968630531030216,4.00675,-0.131,10.265
1999-10-18,4.968630531030216,3.672166666666667,-0.139,9.841
1999-10-19,4.968630531030216,3.1462083333333335,-1.305,9.306
1999-10-20,4.968630531030216,3.3368750000000005,-0.78,9.413
1999-10-21,4.968630531030216,4.743416666666667,-0.196,10.081
1999-10-22,4.968630531030216,8.487375,4.08,14.254
1999-10-23,4.968630531030216,9.350208333333333,7.295,13.189
1999-10-24,4.968630531030216,9.514041666666666,6.447,14.302
1999-10-25,4.968630531030216,10.117791666666667,7.03,14.852
1999-10-26,4.968630531030216,10.654166666666667,8.212,14.978
1999-10-27,4.968630531030216,9.763666666666667,6.444,14.318
1999-10-28,4.968630531030216,9.228083333333332,5.533,14.735
1999-10-29,4.968630531030216,9.40875,7.012,14.738
1999-10-30,4.968630531030216,11.072125,7.12,16.763
1999-10-31,4.968630531030216,10.177083333333334,5.333,13.705
1999-11-01,4.968630531030216,9.337875,4.186,14.337
1999-11-02,4.968630531030216,11.051583333333333,7.242,13.453
1999-11-03,4.968630531030216,6.947875,3.775,10.935
1999-11-04,4.968630531030216,5.018375,1.83,10.924
1999-11-05,4.968630531030216,6.550375,2.717,10.493
1999-11-06,4.968630531030216,6.834875,3.754,8.914
1999-11-07,4.968630531030216,5.640875,3.685,8.523
1999-11-08,4.968630531030216,5.977374999999999,4.672,8.674
1999-11-09,4.968630531030216,5.603458333333333,4.389,7.695
1999-11-10,4.968630531030216,4.8031250000000005,3.496,5.927
1999-11-11,4.968630531030216,2.9635416666666665,-0.62,6.423
1999-11-12,4.968630531030216,0.9855,-1.558,6.2
1999-11-13,4.968630531030216,0.9716666666666667,-1.385,4.55
1999-11-14,4.968630531030216,2.441291666666667,-1.975,5.531
1999-11-15,4.968630531030216,-1.5050416666666668,-3.873,3.199
1999-11-16,4.968630531030216,-1.8905416666666666,-4.402,2.357
1999-11-17,4.968630531030216,0.021583333333333315,-1.978,2.263
1999-11-18,4.968630531030216,-0.19008333333333335,-1.354,1.356
1999-11-19,4.968630531030216,-0.9162499999999999,-1.85,1.426
1999-11-20,4.968630531030216,-2.054125,-4.565,0.693
1999-11-21,4.968630531030216,-3.0065000000000004,-4.802,0.557
1999-11-22,4.968630531030216,-2.174,-4.022,-0.041
1999-11-23,4.968630531030216,0.01233333333333334,-1.61,1.987
1999-11-24,4.968630531030216,1.2237083333333334,-0.095,3.204
1999-11-25,4.968630531030216,2.3389583333333333,1.314,3.87
1999-11-26,4.968630531030216,2.214,-0.592,5.654
1999-11-27,4.968630531030216,1.7991666666666666,-1.018,4.704
1999-11-28,4.968630531030216,3.2253333333333334,1.557,6.713
1999-11-29,4.968630531030216,2.269458333333333,0.523,5.917
1999-11-30,4.968630531030216,3.1812083333333336,0.779,5.641
1999-12-01,4.968630531030216,5.3133333333333335,4.444,7.049
1999-12-02,4.968630531030216,4.07325,2.135,5.861
1999-12-03,4.968630531030216,4.7058333333333335,2.524,5.863
1999-12-04,4.968630531030216,2.462125,0.859,3.919
1999-12-05,4.968630531030216,0.7137916666666667,-1.075,2.906
1999-12-06,4.968630531030216,1.097375,-1.383,3.536
1999-12-07,4.968630531030216,4.132375,3.522,5.235
1999-12-08,4.968630531030216,4.593416666666667,3.218,6.414
1999-12-09,4.968630531030216,5.254166666666666,3.894,7.021
1999-12-10,4.968630531030216,3.8852499999999996,2.68,5.544
1999-12-11,4.968630531030216,4.078875,1.58,7.724
1999-12-12,4.968630531030216,7.067041666666667,4.081,8.605
1999-12-13,4.968630531030216,2.6632083333333334,1.571,4.112
1999-12-14,4.968630531030216,1.3184166666666666,-0.567,2.802
1999-12-15,4.968630531030216,-1.70075,-3.34,0.273
1999-12-16,4.968630531030216,-2.5509583333333334,-3.766,-0.288
1999-12-17,4.968630531030216,-0.27241666666666664,-2.421,1.414
1999-12-18,4.968630531030216,0.8290833333333333,-0.759,2.328
1999-12-19,4.968630531030216,-1.5127916666666668,-3.061,0.532
1999-12-20,4.968630531030216,-2.0299583333333335,-3.077,0.458
1999-12-21,4.968630531030216,-3.10725,-5.452,-0.038
1999-12-22,4.968630531030216,-5.227166666666666,-7.09,-1.799
1999-12-23,4.968630531030216,-2.7615,-5.94,-0.162
1999-12-24,4.968630531030216,0.777125,-1.328,2.311
1999-12-25,4.968630531030216,2.8234166666666667,1.682,4.654
1999-12-26,4.968630531030216,1.895875,1.415,2.562
1999-12-27,4.968630531030216,0.9006249999999999,-0.569,2.339
1999-12-28,4.968630531030216,-0.34958333333333336,-1.259,0.814
1999-12-29,4.968630531030216,-0.3597916666666667,-1.192,1.399
1999-12-30,4.968630531030216,-0.5606666666666666,-1.372,1.431
1999-12-31,4.968630531030216,-1.0079166666666666,-2.314,1.889
2000-01-01,4.968630531030216,0.39491666666666664,-2.314,2.103
2000-01-02,4.968630531030216,1.1685416666666666,-0.084,3.004
2000-01-03,4.968630531030216,1.0630416666666667,-0.304,3.188
2000-01-04,4.968630531030216,2.2365,0.929,3.681
2000-01-05,4.968630531030216,1.8710416666666667,0.259,4.218
2000-01-06,4.968630531030216,1.8462500000000002,-0.173,4.373
2000-01-07,4.968630531030216,3.144,1.75,4.684
2000-01-08,4.968630531030216,2.417875,1.068,4.59
2000-01-09,4.968630531030216,1.7159166666666668,0.377,3.242
2000-01-10,4.968630531030216,-0.23995833333333336,-2.207,2.538
2000-01-11,4.968630531030216,-1.314125,-2.791,2.387
2000-01-12,4.968630531030216,-2.2552499999999998,-4.124,1.19
2000-01-13,4.968630531030216,-3.004,-4.689,0.452
2000-01-14,4.968630531030216,-1.9232500000000001,-3.922,1.922
